pixel_index,sample_n,x,y,x_nearest_sample,y_nearest_sample,line_index
167,5617,-0.333333333333333,-0.0448534423994579,-0.333333333333333,-0.0429447852760736,10
168,5646,-0.333333333333333,0.07757327880026973,-0.333333333333333,0.0756646216768917,10
169,5676,-0.333333333333333,0.1999999999999974,-0.333333333333333,0.198364008179959,10
170,5706,-0.333333333333333,0.32242672119972515,-0.333333333333333,0.321063394683027,10
171,5736,-0.333333333333333,0.44485344239945235,-0.333333333333333,0.443762781186094,10
172,5766,-0.333333333333333,0.5672801635991802,-0.333333333333333,0.566462167689161,10
173,5796,-0.333333333333333,0.6897068847989082,-0.333333333333333,0.689161554192229,10
174,5826,-0.333333333333333,0.8121336059986364,-0.333333333333333,0.811860940695297,10
175,5856,-0.333333333333333,0.934560327198364,-0.333333333333333,0.934560327198364,10
176,5900,-0.466666666666667,0.934560327198364,-0.466666666666667,0.934560327198364,11
177,5930,-0.466666666666667,0.811860940695297,-0.466666666666667,0.811860940695297,11
178,5960,-0.466666666666667,0.68916155419223,-0.466666666666667,0.689161554192229,11
179,5990,-0.466666666666667,0.566462167689163,-0.466666666666667,0.566462167689161,11
180,6020,-0.466666666666667,0.4437627811860961,-0.466666666666667,0.443762781186094,11
181,6050,-0.466666666666667,0.3210633946830287,-0.466666666666667,0.321063394683027,11
182,6080,-0.466666666666667,0.19836400817996122,-0.466666666666667,0.198364008179959,11
183,6110,-0.466666666666667,0.0756646216768947,-0.466666666666667,0.0756646216768917,11
184,6140,-0.466666666666667,-0.04703476482617312,-0.466666666666667,-0.0470347648261759,11
185,6170,-0.466666666666667,-0.16973415132924055,-0.466666666666667,-0.169734151329243,11
186,6200,-0.466666666666667,-0.29243353783230813,-0.466666666666667,-0.292433537832311,11
187,6230,-0.466666666666667,-0.4151329243353758,-0.466666666666667,-0.415132924335378,11
188,6260,-0.466666666666667,-0.5378323108384433,-0.466666666666667,-0.537832310838446,11
189,6290,-0.466666666666667,-0.6605316973415116,-0.466666666666667,-0.660531697341513,11
190,6320,-0.466666666666667,-0.7832310838445798,-0.466666666666667,-0.783231083844581,11
191,6350,-0.466666666666667,-0.905930470347648,-0.466666666666667,-0.905930470347648,11
192,6394,-0.6,-0.905930470347648,-0.6,-0.905930470347648,12
193,6424,-0.6,-0.7832310838445811,-0.6,-0.783231083844581,12
194,6454,-0.6,-0.6605316973415142,-0.6,-0.660531697341513,12
195,6484,-0.6,-0.5378323108384473,-0.6,-0.537832310838446,12
196,6514,-0.6,-0.41513292433538035,-0.6,-0.415132924335378,12
197,6544,-0.6,-0.2924335378323128,-0.6,-0.292433537832311,12
198,6574,-0.6,-0.16973415132924577,-0.6,-0.169734151329243,12
199,6604,-0.6,-0.047034764826178896,-0.6,-0.0470347648261759,12
200,6634,-0.6,0.07566462167688892,-0.6,0.0756646216768917,12
201,6664,-0.6,0.19836400817995678,-0.6,0.198364008179959,12
202,6694,-0.6,0.3210633946830246,-0.6,0.321063394683027,12
203,6724,-0.6,0.4437627811860918,-0.6,0.443762781186094,12
204,6754,-0.6,0.5664621676891599,-0.6,0.566462167689161,12
205,6784,-0.6,0.6891615541922279,-0.6,0.689161554192229,12
206,6814,-0.6,0.8118609406952964,-0.6,0.811860940695297,12
207,6844,-0.6,0.934560327198364,-0.6,0.934560327198364,12
208,6888,-0.733333333333333,0.934560327198364,-0.733333333333333,0.934560327198364,13
209,6918,-0.733333333333333,0.811860940695297,-0.733333333333333,0.811860940695297,13
210,6948,-0.733333333333333,0.68916155419223,-0.733333333333333,0.689161554192229,13
211,6978,-0.733333333333333,0.566462167689163,-0.733333333333333,0.566462167689161,13
212,7008,-0.733333333333333,0.4437627811860961,-0.733333333333333,0.443762781186094,13
213,7038,-0.733333333333333,0.3210633946830287,-0.733333333333333,0.321063394683027,13
214,7068,-0.733333333333333,0.19836400817996122,-0.733333333333333,0.198364008179959,13
215,7098,-0.733333333333333,0.0756646216768947,-0.733333333333333,0.0756646216768917,13
216,7128,-0.733333333333333,-0.04703476482617312,-0.733333333333333,-0.0470347648261759,13
217,7158,-0.733333333333333,-0.16973415132924055,-0.733333333333333,-0.169734151329243,13
218,7188,-0.733333333333333,-0.29243353783230813,-0.733333333333333,-0.292433537832311,13
219,7218,-0.733333333333333,-0.4151329243353758,-0.733333333333333,-0.415132924335378,13
220,7248,-0.733333333333333,-0.5378323108384433,-0.733333333333333,-0.537832310838446,13
221,7278,-0.733333333333333,-0.6605316973415116,-0.733333333333333,-0.660531697341513,13
222,7308,-0.733333333333333,-0.7832310838445798,-0.733333333333333,-0.783231083844581,13
223,7338,-0.733333333333333,-0.905930470347648,-0.733333333333333,-0.905930470347648,13
224,7382,-0.866666666666667,-0.905930470347648,-0.866666666666667,-0.905930470347648,14
225,7412,-0.866666666666667,-0.7832310838445811,-0.866666666666667,-0.783231083844581,14
226,7442,-0.866666666666667,-0.6605316973415142,-0.866666666666667,-0.660531697341513,14
227,7472,-0.866666666666667,-0.5378323108384473,-0.866666666666667,-0.537832310838446,14
228,7502,-0.866666666666667,-0.41513292433538035,-0.866666666666667,-0.415132924335378,14
229,7532,-0.866666666666667,-0.2924335378323128,-0.866666666666667,-0.292433537832311,14
230,7562,-0.866666666666667,-0.16973415132924577,-0.866666666666667,-0.169734151329243,14
231,7592,-0.866666666666667,-0.047034764826178896,-0.866666666666667,-0.0470347648261759,14
232,7622,-0.866666666666667,0.07566462167688892,-0.866666666666667,0.0756646216768917,14
233,7652,-0.866666666666667,0.19836400817995678,-0.866666666666667,0.198364008179959,14
234,7682,-0.866666666666667,0.3210633946830246,-0.866666666666667,0.321063394683027,14
235,7712,-0.866666666666667,0.4437627811860918,-0.866666666666667,0.443762781186094,14
236,7742,-0.866666666666667,0.5664621676891599,-0.866666666666667,0.566462167689161,14
237,7772,-0.866666666666667,0.6891615541922279,-0.866666666666667,0.689161554192229,14
238,7802,-0.866666666666667,0.8118609406952964,-0.866666666666667,0.811860940695297,14
239,7832,-0.866666666666667,0.934560327198364,-0.866666666666667,0.934560327198364,14
240,7876,-1.0,0.934560327198364,-1.0,0.934560327198364,15
241,7907,-1.0,0.8061349693251539,-1.0,0.807770961145194,15
242,7939,-1.0,0.6777096114519439,-1.0,0.676891615541922,15
243,7970,-1.0,0.5492842535787339,-1.0,0.550102249488753,15
244,8002,-1.0,0.4208588957055237,-1.0,0.419222903885481,15
245,8033,-1.0,0.292433537832313,-1.0,0.292433537832311,15
