pixel_index,sample_n,t_s,x,y,line_index,is_line_start
117,4076,4.076,0.0666666666666667,0.321063394683027,7,0
118,4106,4.106,0.0666666666666667,0.198364008179959,7,0
119,4136,4.136,0.0666666666666667,0.0756646216768917,7,0
120,4166,4.166,0.0666666666666667,-0.0470347648261759,7,0
121,4196,4.196,0.0666666666666667,-0.169734151329243,7,0
122,4226,4.226,0.0666666666666667,-0.292433537832311,7,0
123,4256,4.256,0.0666666666666667,-0.415132924335378,7,0
124,4286,4.286,0.0666666666666667,-0.537832310838446,7,0
125,4316,4.316,0.0666666666666667,-0.660531697341513,7,0
126,4346,4.346,0.0666666666666667,-0.783231083844581,7,0
127,4376,4.376,0.0666666666666667,-0.905930470347648,7,0
128,4420,4.42,-0.0666666666666667,-0.905930470347648,8,1
129,4450,4.45,-0.0666666666666667,-0.783231083844581,8,0
130,4480,4.48,-0.0666666666666667,-0.660531697341513,8,0
131,4510,4.51,-0.0666666666666667,-0.537832310838446,8,0
132,4540,4.54,-0.0666666666666667,-0.415132924335378,8,0
133,4570,4.57,-0.0666666666666667,-0.292433537832311,8,0
134,4600,4.6,-0.0666666666666667,-0.169734151329243,8,0
135,4630,4.63,-0.0666666666666667,-0.0470347648261759,8,0
136,4660,4.66,-0.0666666666666667,0.0756646216768917,8,0
137,4690,4.69,-0.0666666666666667,0.198364008179959,8,0
138,4720,4.72,-0.0666666666666667,0.321063394683027,8,0
139,4750,4.75,-0.0666666666666667,0.443762781186094,8,0
140,4780,4.78,-0.0666666666666667,0.566462167689161,8,0
141,4810,4.81,-0.0666666666666667,0.689161554192229,8,0
142,4840,4.84,-0.0666666666666667,0.811860940695297,8,0
143,4870,4.87,-0.0666666666666667,0.934560327198364,8,0
144,4914,4.914,-0.2,0.934560327198364,9,1
145,4944,4.944,-0.2,0.811860940695297,9,0
146,4974,4.974,-0.2,0.689161554192229,9,0
147,5004,5.004,-0.2,0.566462167689161,9,0
148,5034,5.034,-0.2,0.443762781186094,9,0
149,5064,5.064,-0.2,0.321063394683027,9,0
150,5094,5.094,-0.2,0.198364008179959,9,0
