pixel_index,sample_n,x,y,x_nearest_sample,y_nearest_sample,line_index
106,3732,-0.19805859404440254,-0.586760014724588,-0.19806,-0.586308,6
107,3762,-0.19739875579637187,-0.8181760114664391,-0.1974,-0.817776,6
108,3792,-0.19673895487301873,-1.0495920083244772,-0.19674,-1.049256,6
109,3822,-0.19607922498370572,-1.2810080052141652,-0.19608,-1.28076,6
110,3852,-0.195419433839171,-1.5124240022694329,-0.19542,-1.51224,6
111,3882,-0.19476,-1.74384,-0.19476,-1.74384,6
112,3926,-0.0634572,-1.71648,-0.0634572,-1.71648,7
113,3956,-0.0641109257095305,-1.4886960016643205,-0.0641112,-1.4886,7
114,3986,-0.06476345142912897,-1.2609119998048615,-0.064764,-1.26072,7
115,4016,-0.06541704454693868,-1.033128000993231,-0.065418,-1.032792,7
116,4046,-0.06606967215386692,-0.8053439993089478,-0.0660708,-0.804948,7
117,4076,-0.06672343127682534,-0.5775600009313485,-0.0667248,-0.577104,7
118,4106,-0.06737620094882718,-0.3497759996624387,-0.0673776,-0.349284,7
119,4136,-0.06802896682925912,-0.12199199837721122,-0.0680304,-0.121488,7
120,4166,-0.06868288288152358,0.10579199954734914,-0.0686844,0.1062972,7
121,4196,-0.0693358009489855,0.3335760003932367,-0.0693372,0.334068,7
122,4226,-0.06998870332120388,0.5613600012900313,-0.06999,0.561816,7
123,4256,-0.07064163981636887,0.7891440020897164,-0.0706428,0.789552,7
124,4286,-0.07129464304563149,1.0169280026883893,-0.0712956,1.017264,7
125,4316,-0.07194759000966347,1.2447120034359016,-0.0719484,1.245,7
126,4346,-0.07260078858142305,1.4724960034980648,-0.0726012,1.47264,7
127,4376,-0.0732552,1.70028,-0.0732552,1.70028,7
128,4420,0.054072,1.674,0.054072,1.674,8
129,4450,0.054720639992702526,1.4497360025541146,0.05472,1.44996,8
130,4480,0.05536740387162445,1.2254719997738002,0.0553668,1.22568,8
131,4510,0.056015805452845645,1.0012080015984237,0.0560148,1.001556,8
132,4540,0.056664001917994276,0.7769440028275357,0.0566628,0.77736,8
133,4570,0.057310929051567115,0.552680000485382,0.0573096,0.55314,8
134,4600,0.05795902150474362,0.3284160014137341,0.0579576,0.328908,8
135,4630,0.05860705501780265,0.10415200217163681,0.0586056,0.1046556,8
136,4660,0.0592538492397752,-0.12011200055546432,0.0592524,-0.11961,8
137,4690,0.05990178683809696,-0.3443760000746684,0.0599004,-0.343896,8
138,4720,0.06054970593798612,-0.5686399996474185,0.0605484,-0.568188,8
139,4750,0.0611975556965596,-0.7929039994203523,0.0611964,-0.792504,8
140,4780,0.06184533611381741,-1.0171679993934688,0.0618444,-1.016844,8
141,4810,0.06249317714052379,-1.2414319991833271,0.0624924,-1.24116,8
142,4840,0.06314079483747179,-1.4656959995736134,0.0631404,-1.46556,8
143,4870,0.0637884,-1.68996,0.0637884,-1.68996,8
144,4914,0.187164,-1.66416,0.187164,-1.66416,9
145,4944,0.18651783610953587,-1.443800013408443,0.186516,-1.44324,9
146,4974,0.1858818360670032,-1.2234400008719635,0.18588,-1.22232,9
147,5004,0.1852375896063901,-1.0030800091617602,0.185232,-1.001364,9
148,5034,0.18459970684342036,-0.7827200018600999,0.184596,-0.780444,9
149,5064,0.18395715962872164,-0.5623600060175413,0.183948,-0.559548,9
150,5094,0.1833174420933987,-0.34200000325340635,0.183312,-0.338664,9
151,5123,0.18267655652712403,-0.12164000338987621,0.182688,-0.125148,9
152,5153,0.1820301611250809,0.09871998293768336,0.18204,0.0957024,9
153,5183,0.18139571335984175,0.3190799985285858,0.181404,0.316536,9
154,5213,0.18074922480602323,0.5394399845508666,0.180756,0.53736,9
155,5243,0.1801146884181766,0.7597999998288759,0.18012,0.758172,9
156,5273,0.17946808487578483,0.9801599855719434,0.179472,0.97896,9
157,5303,0.17883343790705356,1.200520000441614,0.178836,1.199736,9
158,5333,0.17818658069425872,1.4208799847797995,0.178188,1.42044,9
159,5363,0.177552,1.64124,0.177552,1.64124,9
160,5407,0.2973,1.61664,0.2973,1.61664,10
161,5437,0.29793538360739175,1.3995759994910186,0.297936,1.3992,10
162,5467,0.2985707549707315,1.1825119976781882,0.298572,1.18176,10
163,5497,0.29920609272120946,0.9654479963894845,0.299208,0.964296,10
164,5527,0.2998507813963346,0.7483840183069496,0.299856,0.746808,10
165,5557,0.30048534871069205,0.5313200150156459,0.300492,0.529308,10
166,5587,0.30111985426649,0.3142560115200122,0.301128,0.311796,10
167,5617,0.30175432238372785,0.09719200787581869,0.301764,0.0942684,10
168,5647,0.30238873219426804,-0.11987199588837594,0.3024,-0.123276,10
169,5676,0.30302308609217393,-0.336935999836524,0.303012,-0.333588,10
170,5706,0.30365738844250145,-0.5540000038566902,0.303648,-0.55116,10
171,5736,0.3042916424107183,-0.7710640080369285,0.304284,-0.768756,10
172,5766,0.30492584110049936,-0.9881280123507995,0.30492,-0.986364,10
173,5796,0.30556003939938736,-1.2051920168131414,0.305556,-1.20396,10
174,5826,0.30620502665977006,-1.4222559958620484,0.306204,-1.42164,10
175,5856,0.30684,-1.63932,0.30684,-1.63932,10
176,5900,0.422976,-1.61508,0.422976,-1.61508,11
177,5930,0.4223403525796796,-1.4007440110054836,0.42234,-1.40064,11
178,5960,0.4217163489810514,-1.186407992706675,0.421716,-1.1862,11
179,5990,0.4210809261851778,-0.972072003182978,0.42108,-0.971796,11
180,6020,0.420445116015174,-0.75773601451426,0.420444,-0.757404,11
181,6050,0.41982126173152795,-0.5433999959953253,0.41982,-0.543024,11
182,6080,0.4191853691532018,-0.3290640076541348,0.419184,-0.328656,11
183,6110,0.41856069724498013,-0.11472799103869082,0.41856,-0.1143132,11
184,6140,0.41792538418047187,0.09960799868255076,0.417924,0.10002,11
185,6170,0.4172893311377465,0.3139439865204074,0.417288,0.31434,11
186,6200,0.4166645983145485,0.5282800028436325,0.416664,0.528636,11
187,6230,0.4160290622125061,0.7426159917794461,0.416028,0.742932,11
188,6260,0.4153928471291151,0.9569519790882537,0.415392,0.957204,11
189,6290,0.4147685916083583,1.1712879965134166,0.414768,1.171464,11
190,6320,0.41413245338253285,1.3856239852401415,0.414132,1.38576,11
191,6350,0.413508,1.59996,0.413508,1.59996,11
192,6394,0.526344,1.57668,0.526344,1.57668,12
193,6424,0.5269684610330692,1.3654639952446097,0.526968,1.3656,12
194,6454,0.5275925996947737,1.154247989583902,0.527592,1.154424,12
195,6484,0.5282168586569738,0.9430319841782178,0.528216,0.943284,12
196,6514,0.5288525187578698,0.7318160078882848,0.528852,0.73212,12
197,6544,0.5294766064701393,0.5206000020281849,0.529476,0.520956,12
198,6574,0.5301013083556574,0.30938399761455304,0.5301,0.309768,12
199,6604,0.5307253554064509,0.09816799151760501,0.530724,0.0985656,12
200,6634,0.5313493567911464,-0.11304801468276786,0.531348,-0.11265,12
201,6664,0.5319733084188321,-0.32426402092721024,0.531972,-0.32388,12
202,6694,0.5326086006797773,-0.5354799983495128,0.532608,-0.535128,12
203,6724,0.5332330512065122,-0.7466960035080737,0.533232,-0.746388,12
204,6754,0.53385685863797,-0.9579120102441977,0.533856,-0.95766,12
205,6784,0.5344806269748335,-1.1691280171136362,0.53448,-1.168944,12
206,6814,0.535116176260063,-1.3803439934371546,0.535116,-1.38024,12
207,6844,0.53574,-1.59156,0.53574,-1.59156,12
208,6888,0.645264,-1.56876,0.645264,-1.56876,13
209,6918,0.6446404689912062,-1.3605760074497908,0.64464,-1.36044,13
210,6948,0.6440167336146085,-1.1523920146218452,0.644016,-1.15218,13
211,6978,0.6434044973961273,-0.9442079923577211,0.643404,-0.94392,13
212,7008,0.6427805882359965,-0.7360240004059715,0.64278,-0.735684,13
213,7038,0.6421573540813208,-0.5278400065423968,0.642156,-0.527448,13
214,7068,0.6415334533376603,-0.3196560145838445,0.641532,-0.319236,13
215,7098,0.6409095120965295,-0.11147202271147161,0.640908,-0.1110348,13
216,7128,0.640296760853915,0.09671199818094617,0.640296,0.097152,13
217,7158,0.6396734922566295,0.3048959917057661,0.639672,0.305328,13
218,7188,0.6390493841414921,0.5130799831087464,0.639048,0.51348,13
219,7218,0.6384252319226323,0.7212639743592533,0.638424,0.72162,13
220,7248,0.6378125398004317,0.9294479953504726,0.637812,0.92976,13
221,7278,0.6371888443333531,1.137631987660946,0.637188,1.137876,13
222,7308,0.6365643649905864,1.345815977682877,0.636564,1.34592,13
223,7338,0.635952,1.554,0.635952,1.554,13
224,7382,0.742452,1.53204,0.742452,1.53204,14
225,7412,0.7430645614336917,1.3267999913978477,0.743064,1.32696,14
226,7442,0.7436883929611484,1.1215600121454103,0.743688,1.121784,14
227,7472,0.7443010122905684,0.9163200033332767,0.7443,0.916608,14
228,7502,0.7449131930056765,0.7110799933822044,0.744912,0.71142,14
229,7532,0.7455366666436598,0.5058400131138913,0.745536,0.50622,14
230,7562,0.7461494315625151,0.3006000046831943,0.746148,0.301008,14
231,7592,0.7467614664296577,0.09535999422605664,0.74676,0.095778,14
232,7622,0.7473734552406196,-0.10988001633860939,0.747372,-0.1094652,14
233,7652,0.747997389457964,-0.31511999551973374,0.747996,-0.314724,14
234,7682,0.7486092772155887,-0.520360006442772,0.748608,-0.519996,14
235,7712,0.7492211228680801,-0.7256000174028089,0.74922,-0.72528,14
236,7742,0.7498449263048298,-0.9308399968765181,0.749844,-0.930576,14
237,7772,0.7504566865429961,-1.136080008025383,0.750456,-1.135884,14
238,7802,0.7510682807720045,-1.3413200200213058,0.751068,-1.34124,14
239,7832,0.751692,-1.54656,0.751692,-1.54656,14
240,7876,0.855144,-1.52496,0.855144,-1.52496,15
241,7907,0.8545106806531623,-1.313143986151262,0.85452,-1.3158,15
242,7939,0.8538747139945515,-1.1013279789325376,0.853872,-1.0998,15
243,7970,0.8532321138429229,-0.8895119898613263,0.853236,-0.890604,15
244,8002,0.8525933641045819,-0.6776959908795976,0.852588,-0.674676,15
245,8033,0.8519532953568809,-0.46587999528352914,0.851952,-0.465516,15
246,8064,0.8513119217139121,-0.2540640032186557,0.851316,-0.256356,15
247,8096,0.8506743038102629,-0.04224800106489211,0.850668,-0.040476,15
248,8127,0.8500407259364097,0.16956801186889742,0.850044,0.168648,15
249,8159,0.849395103229341,0.3813839925552061,0.849384,0.384504,15
250,8190,0.8487606975032718,0.5932000031612242,0.84876,0.593592,15
251,8221,0.848115686884273,0.8050159855192806,0.848124,0.80268,15
252,8253,0.8474818932464763,1.0168319977401583,0.847476,1.018488,15
253,8284,0.8468379509074906,1.228647982730372,0.84684,1.22748,15
254,8316,0.8462021614436195,1.4404639885684638,0.846192,1.44336,15
255,8347,0.845568,1.65228,0.845568,1.65228,15
